pl_name,hostname,pl_masse,pl_rade,pl_orbper,pl_eqt,st_teff,discoverymethod,disc_year
HD 114783 b,HD 114783,,,493.7,,5135.0,Radial Velocity,2001.0
HD 12661 c,HD 12661,,,1708.0,,5748.0,Radial Velocity,2002.0
HD 27894 c,HD 27894,,,36.07,,,Radial Velocity,2017.0
TOI-4010 b,TOI-4010,11.0,3.02,1.348335,1441.0,4960.0,Transit,2023.0
HD 12661 b,HD 12661,,,262.70862,,5645.0,Radial Velocity,2000.0
HD 68988 b,HD 68988,,,6.27711,,5932.0,Radial Velocity,2001.0
HD 24040 b,HD 24040,,,3668.0,,5802.0,Radial Velocity,2006.0
TOI-2384 b,TOI-2384,624.85064816,11.48920522,2.13570304,889.7,3943.0,Transit,2024.0
HAT-P-28 b,HAT-P-28,198.953,13.585,3.257215,1384.0,5680.0,Transit,2011.0
NN Ser d,NN Ser,,,2880.0,,,Eclipse Timing Variations,2010.0
NGTS-10 b,NGTS-10,687.14846,13.506845,0.7668944,1332.0,4600.0,Transit,2020.0
HD 156279 c,HD 156279,3098.82696825,,4818.25358,,,Radial Velocity,2018.0
HD 168443 b,HD 168443,,,58.11187,,,Radial Velocity,1998.0
HD 72659 c,HD 72659,6165.8710958,,35500.0,,5929.0,Radial Velocity,2022.0
HD 72659 b,HD 72659,,,3549.0,,5929.0,Radial Velocity,2002.0
HD 24040 c,HD 24040,,,515.4,,5776.49,Radial Velocity,2021.0
HD 68988 c,HD 68988,,,16000.0,,5883.41,Radial Velocity,2021.0
HD 62364 c,HD 62364,7923.46218651,,74839.94555,,,Radial Velocity,2022.0
HD 168443 c,HD 168443,5500.33841154,,1753.1096,,,Radial Velocity,2000.0
HD 168863 b,HD 168863,2154.87659946,,14773.93272,,,Radial Velocity,2022.0
HD 181234 b,HD 181234,2980.91262925,,7593.40512,,,Radial Velocity,2019.0
HD 183263 b,HD 183263,,,624.87404,,,Radial Velocity,2004.0
HD 183263 c,HD 183263,2958.98246917,,4667.97841,,,Radial Velocity,2008.0
HD 66428 b,HD 66428,3478.94974302,,2269.81726,,,Radial Velocity,2005.0
HD 3167 d,HD 3167,,,8.4112,,5261.0,Radial Velocity,2017.0
HD 3167 e,HD 3167,,,96.63,,5261.0,Radial Velocity,2022.0
HD 3167 b,HD 3167,4.97,1.67,0.959641,1774.0,5261.0,Transit,2016.0
BD-210397 b,BD-210397,,,1891.0,,4051.0,Radial Velocity,2023.0
HD 108202 b,HD 108202,953.485221,,2990.0,,,Radial Velocity,2023.0
BD-210397 c,BD-210397,1525.5763536,,6240.0,,,Radial Velocity,2023.0
HD 16905 b,HD 16905,3591.4609991,,10256.0,,,Radial Velocity,2022.0
HD 114783 c,HD 114783,603.8739733,,4352.0,,,Radial Velocity,2018.0
GJ 832 b,GJ 832,314.65012293,,3853.0,,,Radial Velocity,2008.0
HIP 70849 b,HIP 70849,1430.2278315,,3649.0,,,Radial Velocity,2009.0
HD 27894 b,HD 27894,,,18.01939,,,Radial Velocity,2005.0
HD 27894 d,HD 27894,2063.65984665,,5019.54244,,,Radial Velocity,2017.0
HD 29985 b,HD 29985,1739.47487151,,20608.14049,,,Radial Velocity,2022.0
KOI-1257 b,KOI-1257,460.83,10.54,86.647661,511.0,5520.0,Transit,2014.0
Kepler-634 b,Kepler-634,,1.89,5.16950177,,6075.0,Transit,2016.0
Kepler-684 b,Kepler-684,,3.36,6.770302008,,5493.0,Transit,2016.0
Kepler-393 b,Kepler-393,,1.29,9.182417,,6189.0,Transit,2014.0
KMT-2018-BLG-1976L b,KMT-2018-BLG-1976L,705.57906354,,,,,Microlensing,2021.0
HD 331093 b,HD 331093,,,621.62,,5544.0,Radial Velocity,2021.0
MOA-2012-BLG-505L b,MOA-2012-BLG-505L,6.7,,,,,Microlensing,2017.0
Kepler-690 b,Kepler-690,,5.95,7.748094374,,5913.0,Transit,2016.0
HD 202206 c,HD 202206,5689.157,,1260.0,,5766.0,Radial Velocity,2004.0
TOI-1248 b,TOI-1248,27.4,6.8084859,4.3601561,952.09,5205.0,Transit,2024.0
TOI-4773 b,TOI-4773,1687.66884117,15.22179579,1.7452851,2255.0,6740.0,Transit,2025.0
Kepler-1898 b,Kepler-1898,,0.93353523,4.765620232,,5702.0,Transit,2021.0
K2-240 b,K2-240,,2.0,6.034,586.0,3810.0,Transit,2018.0
Kepler-1886 b,Kepler-1886,,2.58158428,24.2758007,,5745.0,Transit,2021.0
K2-24 c,K2-24,15.4,7.5,42.3391,,5625.0,Transit,2016.0
Kepler-1576 b,Kepler-1576,,1.04,6.98471973,,5876.0,Transit,2016.0
Kepler-55 e,Kepler-55,,1.55,4.617534,,4503.0,Transit,2014.0
HIP 75092 b,HIP 75092,,,926.4,,4891.0,Radial Velocity,2021.0
Kepler-31 d,Kepler-31,2161.244,3.9,87.6451,,6340.0,Transit,2014.0
Kepler-109 c,Kepler-109,8.2,2.65,21.22265,859.0,5950.0,Transit,2014.0
TRAPPIST-1 e,TRAPPIST-1,0.692,0.92,6.101013,,2566.0,Transit,2017.0
